XTB Optimization History - 20251202_163433
================================================================================
PDB ID          Optimization Level   Status
2y6a            existing             SKIPPED
2y98            existing             SKIPPED
2yca            existing             SKIPPED
2ycc            existing             SKIPPED
2ycg            existing             SKIPPED
2yqb            existing             SKIPPED
2z6s            existing             SKIPPED
2z6t            existing             SKIPPED
2zoo            existing             SKIPPED
2zuh            existing             SKIPPED
2zuj            existing             SKIPPED
2zwj            existing             SKIPPED
2zwt            existing             SKIPPED
2zwu            existing             SKIPPED
2zxy            existing             SKIPPED
351c            existing             SKIPPED
3a2g            existing             SKIPPED
3a4g            existing             SKIPPED
3a5a            existing             SKIPPED
3a5b            existing             SKIPPED
3abb            existing             SKIPPED
3ae4            existing             SKIPPED
3aeb            existing             SKIPPED
3aef            existing             SKIPPED
3afv            existing             SKIPPED
3awm            existing             SKIPPED
3awp            existing             SKIPPED
3awq            existing             SKIPPED
3b47            existing             SKIPPED
3b4x            existing             SKIPPED
3c2c            existing             SKIPPED
3ccp            existing             SKIPPED
3cp4            existing             SKIPPED
3cp5            existing             SKIPPED
3cqv            existing             SKIPPED
3cu4            existing             SKIPPED
3cy0            existing             SKIPPED
3cy1            existing             SKIPPED
3de9            existing             SKIPPED
3dmi            existing             SKIPPED
3dp5            existing             SKIPPED
3e2n            existing             SKIPPED
3e2o            existing             SKIPPED
3e5j            existing             SKIPPED
3e5l            existing             SKIPPED
3eh4            existing             SKIPPED
3eh5            existing             SKIPPED
3emm            existing             SKIPPED
3erh            existing             SKIPPED
3eri            existing             SKIPPED
3exb            existing             SKIPPED
3fkg            existing             SKIPPED
3fm4            existing             SKIPPED
3fm6            existing             SKIPPED
3fmu            existing             SKIPPED
3g5f            existing             SKIPPED
3g5h            existing             SKIPPED
3gcl            existing             SKIPPED
3h58            existing             SKIPPED
3i6n            existing             SKIPPED
3iqb            existing             SKIPPED
3ivy            existing             SKIPPED
3iw0            existing             SKIPPED
3iw1            existing             SKIPPED
3iw2            existing             SKIPPED
3l1m            existing             SKIPPED
3l61            existing             SKIPPED
3l62            existing             SKIPPED
3m23            existing             SKIPPED
3m25            existing             SKIPPED
3m26            existing             SKIPPED
3m27            existing             SKIPPED
3m28            existing             SKIPPED
3m29            existing             SKIPPED
3m2a            existing             SKIPPED
3m2b            existing             SKIPPED
3m2c            existing             SKIPPED
3m2d            existing             SKIPPED
3m2e            existing             SKIPPED
3m2f            existing             SKIPPED
3m2g            existing             SKIPPED
3m2h            existing             SKIPPED
3m2i            existing             SKIPPED
3m5q            existing             SKIPPED
3m8m            existing             SKIPPED
3m97            existing             SKIPPED
3mm1            existing             SKIPPED
3nv5            existing             SKIPPED
3nv6            existing             SKIPPED
3o1a            existing             SKIPPED
3o89            existing             SKIPPED
3ol5            existing             SKIPPED
3oo3            existing             SKIPPED
3ovu            existing             SKIPPED
3p6q            existing             SKIPPED
3p6u            existing             SKIPPED
3p6x            existing             SKIPPED
3pc2            existing             SKIPPED
3pc3            existing             SKIPPED
3pc4            existing             SKIPPED
3q3u            existing             SKIPPED
3qf1            existing             SKIPPED
3qjq            existing             SKIPPED
3qjs            existing             SKIPPED
3qjt            existing             SKIPPED
3qju            existing             SKIPPED
3qjv            existing             SKIPPED
3qns            existing             SKIPPED
3qzz            existing             SKIPPED
3r5o            existing             SKIPPED
3rgk            existing             SKIPPED
3rwl            existing             SKIPPED
3s8f            existing             SKIPPED
3s8g            existing             SKIPPED
3sfd            existing             SKIPPED
3sfe            existing             SKIPPED
3tga            existing             SKIPPED
3tgy            existing             SKIPPED
3u3e            existing             SKIPPED
3vm4            existing             SKIPPED
3vno            existing             SKIPPED
3vnw            existing             SKIPPED
3voo            existing             SKIPPED
3vp5            existing             SKIPPED
3vtj            existing             SKIPPED
3vxi            existing             SKIPPED
3vxj            existing             SKIPPED
3wc8            existing             SKIPPED
3wec            existing             SKIPPED
3wui            existing             SKIPPED
3wxo            existing             SKIPPED
3x32            existing             SKIPPED
3x33            existing             SKIPPED
3x35            existing             SKIPPED
3zbm            existing             SKIPPED
3zcg            existing             SKIPPED
3ziy            existing             SKIPPED
3zkp            existing             SKIPPED
451c            existing             SKIPPED
4a6z            existing             SKIPPED
4a71            existing             SKIPPED
4a7m            existing             SKIPPED
4b4y            existing             SKIPPED
4bja            existing             SKIPPED
4blk            existing             SKIPPED
4bll            existing             SKIPPED
4bln            existing             SKIPPED
4blx            existing             SKIPPED
4bm2            existing             SKIPPED
4bm3            existing             SKIPPED
4bm4            existing             SKIPPED
4c44            existing             SKIPPED
4ccp            existing             SKIPPED
4ccx            existing             SKIPPED
4cpp            existing             SKIPPED
4czn            existing             SKIPPED
4czo            existing             SKIPPED
4dc7            existing             SKIPPED
4dc8            existing             SKIPPED
4dxy            existing             SKIPPED
4dy9            existing             SKIPPED
4e2p            existing             SKIPPED
4eic            existing             SKIPPED
4eid            existing             SKIPPED
4eie            existing             SKIPPED
4eif            existing             SKIPPED
4f68            existing             SKIPPED
4f6b            existing             SKIPPED
4f6d            existing             SKIPPED
4f6g            existing             SKIPPED
4f6i            existing             SKIPPED
4fa7            existing             SKIPPED
4faa            existing             SKIPPED
4fcn            existing             SKIPPED
4fcs            existing             SKIPPED
4fdq            existing             SKIPPED
4fef            existing             SKIPPED
4fia            existing             SKIPPED
4fwx            existing             SKIPPED
4fwy            existing             SKIPPED
4fwz            existing             SKIPPED
4g05            existing             SKIPPED
4g2g            existing             SKIPPED
4g46            existing             SKIPPED
4g47            existing             SKIPPED
4g48            existing             SKIPPED
4g70            existing             SKIPPED
4g71            existing             SKIPPED
4g7l            existing             SKIPPED
4g7q            existing             SKIPPED
4g7s            existing             SKIPPED
4g8u            existing             SKIPPED
4g8w            existing             SKIPPED
4gm7            existing             SKIPPED
4gp4            existing             SKIPPED
4gp5            existing             SKIPPED
4gp8            existing             SKIPPED
4h07            existing             SKIPPED
4h0b            existing             SKIPPED
4h8q            existing             SKIPPED
4hhs            existing             SKIPPED
4hpc            existing             SKIPPED
4i3q            existing             SKIPPED
4ict            existing             SKIPPED
4ips            existing             SKIPPED
4ipw            existing             SKIPPED
4iq7            existing             SKIPPED
4iq9            existing             SKIPPED
4it8            existing             SKIPPED
4jcg            existing             SKIPPED
4jm5            existing             SKIPPED
4jm6            existing             SKIPPED
4jm8            existing             SKIPPED
4jm9            existing             SKIPPED
4jma            existing             SKIPPED
4jmb            existing             SKIPPED
4jms            existing             SKIPPED
4jmt            existing             SKIPPED
4jmv            existing             SKIPPED
4jmw            existing             SKIPPED
4jmz            existing             SKIPPED
4jn0            existing             SKIPPED
4jpl            existing             SKIPPED
4jpt            existing             SKIPPED
4jpu            existing             SKIPPED
4jqj            existing             SKIPPED
4jqk            existing             SKIPPED
4jqm            existing             SKIPPED
4jqn            existing             SKIPPED
4kmg            existing             SKIPPED
4ksz            existing             SKIPPED
4ktf            existing             SKIPPED
4ktj            existing             SKIPPED
4ktk            existing             SKIPPED
4ktl            existing             SKIPPED
4kvk            existing             SKIPPED
4l54            existing             SKIPPED
4lpi            existing             SKIPPED
4lxj            existing             SKIPPED
4mbn            existing             SKIPPED
4msf            existing             SKIPPED
4n4y            existing             SKIPPED
4njb            existing             SKIPPED
4ns2            existing             SKIPPED
4nva            existing             SKIPPED
4nvb            existing             SKIPPED
4nvc            existing             SKIPPED
4nvd            existing             SKIPPED
4nve            existing             SKIPPED
4nvf            existing             SKIPPED
4nvg            existing             SKIPPED
4nvh            existing             SKIPPED
4nvi            existing             SKIPPED
4nvj            existing             SKIPPED
4nvk            existing             SKIPPED
4nvl            existing             SKIPPED
4nvm            existing             SKIPPED
4nvn            existing             SKIPPED
4nvo            existing             SKIPPED
4nxa            existing             SKIPPED
4nxc            existing             SKIPPED
4o4t            existing             SKIPPED
4o4z            existing             SKIPPED
4o6s            existing             SKIPPED
4o6t            existing             SKIPPED
4o6u            existing             SKIPPED
4oek            existing             SKIPPED
4of9            existing             SKIPPED
4ood            existing             SKIPPED
4oq7            existing             SKIPPED
4pnj            existing             SKIPPED
4pq6            existing             SKIPPED
4pqb            existing             SKIPPED
4pqc            existing             SKIPPED
4pw9            existing             SKIPPED
4qau            existing             SKIPPED
4qjq            existing             SKIPPED
4rlr            existing             SKIPPED
4rm4            existing             SKIPPED
4tpn            existing             SKIPPED
4tpo            existing             SKIPPED
4tvf            existing             SKIPPED
4tyx            existing             SKIPPED
4u9e            existing             SKIPPED
4uax            existing             SKIPPED
4wch            existing             SKIPPED
4wpz            existing             SKIPPED
4xmc            existing             SKIPPED
4xmd            existing             SKIPPED
4xv4            existing             SKIPPED
4xv5            existing             SKIPPED
4xv6            existing             SKIPPED
4xv7            existing             SKIPPED
4xv8            existing             SKIPPED
4xxl            existing             SKIPPED
4y55            existing             SKIPPED
4yxd            existing             SKIPPED
4yzr            existing             SKIPPED
4z5q            existing             SKIPPED
5a1p            existing             SKIPPED
5a1r            existing             SKIPPED
5a5i            existing             SKIPPED
5abo            existing             SKIPPED
5al9            existing             SKIPPED
5b4z            existing             SKIPPED
5b51            existing             SKIPPED
5b72            existing             SKIPPED
5b82            existing             SKIPPED
5b84            existing             SKIPPED
5b85            existing             SKIPPED
5c58            existing             SKIPPED
5c6y            existing             SKIPPED
5ccp            existing             SKIPPED
5cje            existing             SKIPPED
5cyt            existing             SKIPPED
5d6m            existing             SKIPPED
5edt            existing             SKIPPED
5eet            existing             SKIPPED
5ejt            existing             SKIPPED
5ejx            existing             SKIPPED
5eoh            existing             SKIPPED
5eqm            existing             SKIPPED
5eu2            existing             SKIPPED
5ev5            existing             SKIPPED
5ex9            existing             SKIPPED
5eyj            existing             SKIPPED
5eys            existing             SKIPPED
5f0b            existing             SKIPPED
5f2a            existing             SKIPPED
5fne            existing             SKIPPED
5gnl            existing             SKIPPED
5gxg            existing             SKIPPED
5hav            existing             SKIPPED
5hiw            existing             SKIPPED
5hlq            existing             SKIPPED
5hlu            existing             SKIPPED
5hlx            existing             SKIPPED
5ibh            existing             SKIPPED
5ibi            existing             SKIPPED
5ibj            existing             SKIPPED
5ik1            existing             SKIPPED
5ikd            existing             SKIPPED
5jqr            existing             SKIPPED
5jt4            existing             SKIPPED
5kke            existing             SKIPPED
5l1q            existing             SKIPPED
5l1r            existing             SKIPPED
5lft            existing             SKIPPED
5lte            existing             SKIPPED
5lth            existing             SKIPPED
5m0n            vtight               SUCCESS
5m3s            vtight               SUCCESS
5m6j            vtight               SUCCESS
5mjc            vtight               SUCCESS
5mjd            vtight               SUCCESS
5mxy            vtight               SUCCESS
5mxz            vtight               SUCCESS
5n1t            vtight               SUCCESS
5ndc            vtight               SUCCESS
5ngx            vtight               SUCCESS
5nvi            vtight               SUCCESS
5nw6            vtight               SUCCESS
5nws            vtight               SUCCESS
5o17            vtight               SUCCESS
5o18            vtight               SUCCESS
5o1k            vtight               SUCCESS
5o27            vtight               SUCCESS
5obo            vtight               SUCCESS
5ocb            vtight               SUCCESS
5ocf            vtight               SUCCESS
5op9            vtight               SUCCESS
5oxu            vtight               SUCCESS
5oy2            vtight               SUCCESS
5twt            vtight               SUCCESS
5u5u            vtight               SUCCESS
5u5v            vtight               SUCCESS
5u5w            vtight               SUCCESS
5u5x            vtight               SUCCESS
5u5y            vtight               SUCCESS
5u5z            vtight               SUCCESS
5u60            vtight               SUCCESS
5u61            vtight               SUCCESS
5ufg            vtight               SUCCESS
5ug2            vtight               SUCCESS
5utb            vtight               SUCCESS
5vcc            vtight               SUCCESS
5vcd            vtight               SUCCESS
5via            vtight               SUCCESS
5vjs            vtight               SUCCESS
5vju            vtight               SUCCESS
5w0c            vtight               SUCCESS
5w58            vtight               SUCCESS
5wv3            vtight               SUCCESS
5x23            vtight               SUCCESS
5x24            vtight               SUCCESS
5xkv            vtight               SUCCESS
5xkw            vtight               SUCCESS
5xw2            vtight               SUCCESS
5xxi            vtight               SUCCESS
5xzi            vtight               SUCCESS
5yce            vtight               SUCCESS
5ycg            vtight               SUCCESS
5ych            vtight               SUCCESS
5ylw            vtight               SUCCESS
5ysm            vtight               SUCCESS
5yzf            vtight               SUCCESS
5z7e            vtight               SUCCESS
5z9i            vtight               SUCCESS
5zm9            vtight               SUCCESS
5zze            vtight               SUCCESS
5zzf            vtight               SUCCESS
6a2j            vtight               SUCCESS
6a4y            vtight               SUCCESS
6a6q            vtight               SUCCESS
6c4w            vtight               SUCCESS
6ccp            vtight               SUCCESS
6cpp            vtight               SUCCESS
6cuk            vtight               SUCCESS
6cvc            vtight               SUCCESS
6dcd            vtight               SUCCESS
6dpq            vtight               SUCCESS
6dyi            vtight               SUCCESS
6ekw            vtight               SUCCESS
6ekx            vtight               SUCCESS
6eky            vtight               SUCCESS
6eye            vtight               SUCCESS
6f0c            vtight               SUCCESS
6f1q            vtight               SUCCESS
6ff5            vtight               SUCCESS
6fja            vtight               SUCCESS
6fyj            vtight               SUCCESS
6gd6            vtight               SUCCESS
6gd7            vtight               SUCCESS
6gd9            vtight               SUCCESS
6gda            vtight               SUCCESS
6geo            vtight               SUCCESS
6geq            vtight               SUCCESS
6gii            vtight               SUCCESS
6gk5            vtight               SUCCESS
6gk6            vtight               SUCCESS
6gmf            vtight               SUCCESS
6ied            vtight               SUCCESS
6j82            vtight               SUCCESS
6j83            vtight               SUCCESS
6j84            vtight               SUCCESS
6jt6            vtight               SUCCESS
6k9i            vtight               SUCCESS
6k9j            vtight               SUCCESS
6krc            vtight               SUCCESS
6krf            vtight               SUCCESS
6l8i            vtight               SUCCESS
6lco            vtight               SUCCESS
6m4q            vtight               SUCCESS
6m4s            vtight               SUCCESS
6m7e            vtight               SUCCESS
6m8f            vtight               SUCCESS
6ma8            vtight               SUCCESS
6mcw            vtight               SUCCESS
6mi0            vtight               SUCCESS
6mjm            vtight               SUCCESS
6myo            failed               FAILED
6myp            failed               FAILED
6myq            failed               FAILED
6myr            failed               FAILED
6mys            failed               FAILED
6myt            failed               FAILED
6myu            failed               FAILED
6nzx            vtight               SUCCESS
6onq            vtight               SUCCESS
6oob            vtight               SUCCESS
6ot8            vtight               SUCCESS
6pq6            vtight               SUCCESS
6pqd            vtight               SUCCESS
6pqw            vtight               SUCCESS
6prr            vtight               SUCCESS
6qq0            vtight               SUCCESS
6qq1            vtight               SUCCESS
6qq2            vtight               SUCCESS
6r1q            vtight               SUCCESS
6r3w            vtight               SUCCESS
6ro8            vtight               SUCCESS
6rqb            vtight               SUCCESS
6rqd            vtight               SUCCESS
6rsi            vtight               SUCCESS
6rsj            vtight               SUCCESS
6s8y            vtight               SUCCESS
6tet            vtight               SUCCESS
6tev            vtight               SUCCESS
6tpo            vtight               SUCCESS
6u3k            vtight               SUCCESS
6u87            vtight               SUCCESS
6u97            vtight               SUCCESS
6vdp            vtight               SUCCESS
6vdq            vtight               SUCCESS
6vdz            vtight               SUCCESS
6vxv            vtight               SUCCESS
6vz6            vtight               SUCCESS
6vza            vtight               SUCCESS
6vzb            vtight               SUCCESS
6wzc            vtight               SUCCESS
6wzp            vtight               SUCCESS
6x8x            vtight               SUCCESS
6xaj            vtight               SUCCESS
6xal            vtight               SUCCESS
6xam            vtight               SUCCESS
6y1t            vtight               SUCCESS
6y2y            vtight               SUCCESS
6zmq            vtight               SUCCESS
7anv            vtight               SUCCESS
7bi1            vtight               SUCCESS
7biu            vtight               SUCCESS
7c73            vtight               SUCCESS
7c74            vtight               SUCCESS
7ccp            vtight               SUCCESS
7cen            vtight               SUCCESS
7cez            vtight               SUCCESS
7cka            vtight               SUCCESS
7cl7            vtight               SUCCESS
7cl8            vtight               SUCCESS
7cl9            vtight               SUCCESS
7cpp            vtight               SUCCESS
7d52            vtight               SUCCESS
7dao            vtight               SUCCESS
7dds            vtight               SUCCESS
7de5            vtight               SUCCESS
7di3            vtight               SUCCESS
7dlh            vtight               SUCCESS
7dls            vtight               SUCCESS
7dmr            vtight               SUCCESS
7kcs            vtight               SUCCESS
7kyr            vtight               SUCCESS
7l3u            vtight               SUCCESS
7l3y            vtight               SUCCESS
7n14            vtight               SUCCESS
7nhp            vtight               SUCCESS
7nhq            vtight               SUCCESS
7nqm            vtight               SUCCESS
7nqn            vtight               SUCCESS
7nqo            vtight               SUCCESS
7ow9            vtight               SUCCESS
7pr4            vtight               SUCCESS
7red            vtight               SUCCESS
7reh            vtight               SUCCESS
7rl2            vtight               SUCCESS
7ve3            vtight               SUCCESS
8cpp            vtight               SUCCESS
